"de",51829
"la",25583
"re",20157
"don",19624
"en",15715
"un",14060
"et",10272
"el",10124
"para",6953
"pas",6890
"lo",6676
"red",6638
"ne",5679
"es",5545
"al",4913
"um",4616
"si",4388
"ya",3224
"las",3057
"em",2701
"mi",2548
"mas",2170
"na",2102
"mon",2055
"er",1944
"ai",1595
"dos",1465
"yo",1374
"nos",1131
"nous",1119
"dit",834
"poco",831
"mir",798
"ta",709
"uh",613
"mo",591
"ah",590
"ti",444
"eh",437
"fa",388
"vas",307
"ain",300
"ar",297
"ba",272
"het",264
"ait",254
"ye",215
"mots",205
"sou",198
"col",167
"mu",146
"ins",141
"ed",138
"vis",137
"bas",135
"umm",135
"om",131
"fen",115
"hmm",110
"ut",99
"wo",96
"ay",93
"li",93
"feu",90
"maar",85
"wan",81
"bo",78
"hm",77
"ow",76
"nu",74
"pe",73
"ka",72
"campo",59
"vert",58
"tas",56
"banco",54
"aba",54
"cay",54
"od",47
"noirs",45
"fil",41
"sh",40
"ag",39
"rec",37
"tho",34
"ere",32
"amas",32
"tut",31
"gee",31
"pol",30
"dol",29
"bal",28
"uke",25
"oy",24
"aw",23
"mor",22
"ifs",19
"vex",19
"ole",18
"kat",17
"ef",16
"els",16
"pia",15
"gan",14
"vox",13
"lav",13
"rin",13
"dah",13
"ell",13
"nim",12
"xi",10
"ane",10
"resid",10
"dal",10
"ras",9
"lek",9
"eme",9
"eta",8
"tae",8
"noo",8
"dey",8
"jo",7
"nib",7
"haj",7
"goa",7
"cur",7
"oud",6
"cors",5
"sae",5
"sop",5
"udo",4
"ens",4
"lez",4
"yow",4
"burg",3
"doge",3
"mae",3
"eds",3
"awa",3
"arf",3
"roan",3
"avo",2
"zee",2
"hep",2
"kor",2
"arb",2
"dap",2
"zek",2
"raj",2
"qua",2
"dita",2
"aa",1
"ae",1
"cote",1
"puls",1
"pah",1
"tup",1
"dicta",1
"azo",1
"gib",1
"kir",1
"gyp",1
"hyp",1
"sri",1
"zoa",1
"ort",1
"gul",1
"kep",1
"juju",1
